"interface","internetaddress","physicaladdress","type"
﻿"192.168.200.167 on Interface 0x7","192.168.200.99","90-09-D0-33-27-46","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.101","00-0C-29-17-21-76","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.108","F4-CE-23-98-E2-D4","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.109","30-24-32-FA-8A-25","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.111","88-78-73-A3-89-C3","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.112","30-05-05-AA-D4-FD","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.114","04-EA-56-1E-AD-B6","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.120","04-EC-D8-34-75-5B","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.140","84-7B-57-68-F8-99","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.143","94-E2-3C-3A-3E-CD","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.145","94-E2-3C-3C-B9-4B","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.153","00-0C-29-87-75-30","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.154","D0-37-45-08-B6-63","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.155","F8-B5-4D-53-B8-3F","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.164","24-0A-64-C4-86-25","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.165","28-C2-DD-4C-0F-17","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.166","28-C2-DD-68-9E-41","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.169","28-C2-DD-68-9D-B9","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.170","B8-8A-60-A0-B7-CF","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.254","00-FF-7B-40-A9-4F","dynamic"
﻿"192.168.200.167 on Interface 0x7","192.168.200.255","FF-FF-FF-FF-FF-FF","static"
﻿"192.168.200.167 on Interface 0x7","224.0.0.22","01-00-5E-00-00-16","static"
﻿"192.168.200.167 on Interface 0x7","224.0.0.251","01-00-5E-00-00-FB","static"
﻿"192.168.200.167 on Interface 0x7","224.0.0.252","01-00-5E-00-00-FC","static"
﻿"192.168.200.167 on Interface 0x7","239.255.255.250","01-00-5E-7F-FF-FA","static"
﻿"192.168.200.167 on Interface 0x7","255.255.255.255","FF-FF-FF-FF-FF-FF","static"
