"name","caption","description","displayname","errorcontrol","pathname","creationclassname","servicetype","started","startmode","startname","state","status","systemname","acceptpause","acceptstop"
ï»¿"1394ohci","1394 OHCI Compliant Host Controller","1394 OHCI Compliant Host Controller","1394 OHCI Compliant Host Controller","Normal","C:\Windows\system32\drivers\1394ohci.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"3ware","3ware","3ware","3ware","Normal","C:\Windows\system32\drivers\3ware.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"ACPI","Microsoft ACPI Driver","Microsoft ACPI Driver","Microsoft ACPI Driver","Critical","C:\Windows\system32\drivers\ACPI.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"AcpiDev","ACPI ¸Ë¸mÅX°Êµ{¦¡","ACPI ¸Ë¸mÅX°Êµ{¦¡","ACPI ¸Ë¸mÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\AcpiDev.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Critical","C:\Windows\system32\Drivers\acpiex.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"acpipagr","ACPI ³B²z¾¹·JÁ`¤u¨ãÅX°Êµ{¦¡","ACPI ³B²z¾¹·JÁ`¤u¨ãÅX°Êµ{¦¡","ACPI ³B²z¾¹·JÁ`¤u¨ãÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\acpipagr.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AcpiPmi","ACPI ¹q·½¶qªíÅX°Êµ{¦¡","ACPI ¹q·½¶qªíÅX°Êµ{¦¡","ACPI ¹q·½¶qªíÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\acpipmi.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"acpitime","ACPI ACPI ³ê¿ô¾xÄÁÅX°Êµ{¦¡","ACPI ACPI ³ê¿ô¾xÄÁÅX°Êµ{¦¡","ACPI ACPI ³ê¿ô¾xÄÁÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\acpitime.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Acx01000","Acx01000","Acx01000","Acx01000","Normal","C:\Windows\system32\drivers\Acx01000.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"ADP80XX","ADP80XX","ADP80XX","ADP80XX","Normal","C:\Windows\system32\drivers\ADP80XX.SYS","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AFD","Ancillary Function Driver for Winsock","Ancillary Function Driver for Winsock","Ancillary Function Driver for Winsock","Normal","C:\Windows\system32\drivers\afd.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"afunix","afunix","afunix","afunix","Normal","C:\Windows\system32\drivers\afunix.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"ahcache","Application Compatibility Cache","Application Compatibility Cache","Application Compatibility Cache","Normal","C:\Windows\system32\DRIVERS\ahcache.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"amdgpio2","AMD GPIO ¥Î¤áºÝÅX°Êµ{¦¡","AMD GPIO ¥Î¤áºÝÅX°Êµ{¦¡","AMD GPIO ¥Î¤áºÝÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\amdgpio2.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"amdi2c","AMD I2C ±±¨î¾¹ªA°È","AMD I2C ±±¨î¾¹ªA°È","AMD I2C ±±¨î¾¹ªA°È","Normal","C:\Windows\system32\drivers\amdi2c.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AmdK8","AMD K8 Processor Driver","AMD K8 Processor Driver","AMD K8 Processor Driver","Normal","C:\Windows\system32\drivers\amdk8.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AmdPPM","AMD Processor Driver","AMD Processor Driver","AMD Processor Driver","Normal","C:\Windows\system32\drivers\amdppm.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"amdsata","amdsata","amdsata","amdsata","Normal","C:\Windows\system32\drivers\amdsata.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"amdsbs","amdsbs","amdsbs","amdsbs","Normal","C:\Windows\system32\drivers\amdsbs.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"amdxata","amdxata","amdxata","amdxata","Normal","C:\Windows\system32\drivers\amdxata.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AppID","AppID ÅX°Êµ{¦¡","AppID ÅX°Êµ{¦¡","AppID ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\appid.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"applockerfltr","Smartlocker ¿z¿ï¾¹ÅX°Êµ{¦¡","Smartlocker ¿z¿ï¾¹ÅX°Êµ{¦¡","Smartlocker ¿z¿ï¾¹ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\applockerfltr.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
