"TimeToLive","PSComputerName","Caption","Description","ElementName","InstanceId","Data","DataLength","Entry","Name","Section","Status","Type"
﻿"648"," DESKTOP-TC5H5CS"," "," "," ","0"," az700632-pme.azureedge.net","8"," az700632.vo.msecnd.net"," az700632.vo.msecnd.net","1","0","5"
﻿"648"," DESKTOP-TC5H5CS"," "," "," ","0"," az700632-PME.ec.azureedge.net","8"," az700632.vo.msecnd.net"," az700632-pme.azureedge.net","1","0","5"
﻿"648"," DESKTOP-TC5H5CS"," "," "," ","0"," cs9.wpc.v0cdn.net","8"," az700632.vo.msecnd.net"," az700632-PME.ec.azureedge.net","1","0","5"
﻿"648"," DESKTOP-TC5H5CS"," "," "," ","0"," 117.18.232.200","4"," az700632.vo.msecnd.net"," cs9.wpc.v0cdn.net","1","0","1"
﻿"643"," DESKTOP-TC5H5CS"," "," "," ","0"," 52.179.219.14","4"," array503.prod.do.dsp.mp.microsoft.com"," array503.prod.do.dsp.mp.microsoft.com","1","0","1"
﻿"38344"," DESKTOP-TC5H5CS"," "," "," ","0"," a23-45-197-19.deploy.static.akamaitechnologies.com","8"," 19.197.45.23.in-addr.arpa"," 19.197.45.23.IN-ADDR.arpa","1","0","12"
﻿"752"," DESKTOP-TC5H5CS"," "," "," ","0"," a-0003.a-msedge.net","8"," 203.197.79.204.in-addr.arpa"," 203.197.79.204.in-addr.arpa","1","0","12"
﻿"50370"," DESKTOP-TC5H5CS"," "," "," ","0"," dns.google","8"," 8.8.8.8.in-addr.arpa"," 8.8.8.8.IN-ADDR.arpa","1","0","12"
﻿"49127"," DESKTOP-TC5H5CS"," "," "," ","0"," tsa03s08-in-f14.1e100.net","8"," 14.43.251.142.in-addr.arpa"," 14.43.251.142.IN-ADDR.arpa","1","0","12"
﻿"81545"," DESKTOP-TC5H5CS"," "," "," ","0"," 203-74-95-97.hinet-ip.hinet.net","8"," 97.95.74.203.in-addr.arpa"," 97.95.74.203.IN-ADDR.ARPA","1","0","12"
﻿"47530"," DESKTOP-TC5H5CS"," "," "," ","0"," dns.google","8"," 4.4.8.8.in-addr.arpa"," 4.4.8.8.IN-ADDR.arpa","1","0","12"
﻿"1484"," DESKTOP-TC5H5CS"," "," "," ","0"," 208.67.222.222","4"," resolver1.opendns.com"," resolver1.opendns.com","1","0","1"
