"eventrecordid","providername","providerguid","eventid","version","level","keywords","task","opcode","createdsystemtime","correlationactivityid","correlationrelatedactivityid","executionprocessid","executionthreadid","channel","computer","securityuserid","evtrenderdata"
ï»¿"1","EventLog"," ","2147489657","0","INFORMATION"," ","0","0","1688073663"," "," ","0","0","System","WIN-VBFV11TS5L1"," ","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='EventLog'/><EventID Qualifiers='32768'>6009</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x80000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:21:03.9860687Z'/><EventRecordID>1</EventRecordID><Correlation/><Execution ProcessID='0' ThreadID='0'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security/></System><EventData><Data>10.00.</Data><Data>19045</Data><Data></Data><Data>Multiprocessor Free</Data><Data>0</Data></EventData></Event>"
ï»¿"2","EventLog"," ","2147489653","0","INFORMATION"," ","0","0","1688073663"," "," ","0","0","System","WIN-VBFV11TS5L1"," ","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='EventLog'/><EventID Qualifiers='32768'>6005</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x80000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:21:03.9860687Z'/><EventRecordID>2</EventRecordID><Correlation/><Execution ProcessID='0' ThreadID='0'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security/></System><EventData><Binary>E707060004001D00150015000300DA030000000000000000</Binary></EventData></Event>"
ï»¿"3","Microsoft-Windows-Kernel-General","{A68CA8B7-004F-D7B6-A698-07E2DE0F1F5D}","12","0","INFORMATION"," ","1","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-General' Guid='{a68ca8b7-004f-d7b6-a698-07e2de0f1f5d}'/><EventID>12</EventID><Version>0</Version><Level>4</Level><Task>1</Task><Opcode>0</Opcode><Keywords>0x8000000000000080</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5670014Z'/><EventRecordID>3</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='MajorVersion'>10</Data><Data Name='MinorVersion'>0</Data><Data Name='BuildVersion'>19041</Data><Data Name='QfeVersion'>2006</Data><Data Name='ServiceVersion'>0</Data><Data Name='BootMode'>0</Data><Data Name='StartTime'>2023-06-29T21:20:29.5000000Z</Data></EventData></Event>"
ï»¿"4","Microsoft-Windows-Kernel-Boot","{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}","153","0","INFORMATION"," ","62","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Boot' Guid='{15ca44ff-4d7a-4baa-bba5-0998955e531e}'/><EventID>153</EventID><Version>0</Version><Level>4</Level><Task>62</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5670609Z'/><EventRecordID>4</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='Status'>0</Data><Data Name='EnableDisableReason'>0</Data><Data Name='VsmPolicy'>0</Data></EventData></Event>"
ï»¿"5","Microsoft-Windows-Kernel-Boot","{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}","25","0","INFORMATION"," ","32","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Boot' Guid='{15ca44ff-4d7a-4baa-bba5-0998955e531e}'/><EventID>25</EventID><Version>0</Version><Level>4</Level><Task>32</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5672116Z'/><EventRecordID>5</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='BootMenuPolicy'>1</Data></EventData></Event>"
ï»¿"6","Microsoft-Windows-Kernel-Boot","{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}","27","1","INFORMATION"," ","33","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Boot' Guid='{15ca44ff-4d7a-4baa-bba5-0998955e531e}'/><EventID>27</EventID><Version>1</Version><Level>4</Level><Task>33</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5672121Z'/><EventRecordID>6</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='BootType'>0</Data><Data Name='LoadOptions'> NOEXECUTE=OPTIN</Data></EventData></Event>"
ï»¿"7","Microsoft-Windows-Kernel-Boot","{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}","18","0","INFORMATION"," ","57","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Boot' Guid='{15ca44ff-4d7a-4baa-bba5-0998955e531e}'/><EventID>18</EventID><Version>0</Version><Level>4</Level><Task>57</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5672626Z'/><EventRecordID>7</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='EntryCount'>1</Data></EventData></Event>"
ï»¿"8","Microsoft-Windows-Kernel-Boot","{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}","32","0","INFORMATION"," ","58","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Boot' Guid='{15ca44ff-4d7a-4baa-bba5-0998955e531e}'/><EventID>32</EventID><Version>0</Version><Level>4</Level><Task>58</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5672836Z'/><EventRecordID>8</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='BitlockerUserInputTime'>0</Data></EventData></Event>"
ï»¿"9","Microsoft-Windows-Kernel-General","{A68CA8B7-004F-D7B6-A698-07E2DE0F1F5D}","20","0","INFORMATION"," ","6","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-General' Guid='{a68ca8b7-004f-d7b6-a698-07e2de0f1f5d}'/><EventID>20</EventID><Version>0</Version><Level>4</Level><Task>6</Task><Opcode>0</Opcode><Keywords>0x8000000000000010</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.5724485Z'/><EventRecordID>9</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='UpdateReason'>0</Data><Data Name='EnabledNew'>true</Data><Data Name='CountNew'>0</Data><Data Name='CountOld'>0</Data></EventData></Event>"
ï»¿"10","Microsoft-Windows-HAL","{63D1E632-95CC-4443-9312-AF927761D52A}","16","0","INFORMATION"," ","0","0","1688073629"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-HAL' Guid='{63d1e632-95cc-4443-9312-af927761d52a}'/><EventID>16</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:29.6357533Z'/><EventRecordID>10</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData></EventData></Event>"
