"displayname","registryname","displayversion","installdate","installedfor","installlocation","publisher","uninstallstring","modifypath","comments","urlinfoabout","urlupdateinfo","helplink","installsource","releasetype","displayicon","estimatedsize","registrytime","installfoldercreatedtime","installfoldermodifiedtime"
﻿"Git","Git_is1","2.41.0.3","20230720","All User 64-bit","C:\Program Files\Git\","The Git Development Community"," "," "," ","https://gitforwindows.org/"," ","https://github.com/git-for-windows/git/wiki/Contact"," "," ","C:\Program Files\Git\mingw64\share\git\git-for-windows.ico","327041","1689832096","1689752681","1689832101"
﻿"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.31125"," ","All User 64-bit","c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\","Microsoft Corporation"," "," "," "," ","http://go.microsoft.com/fwlink/?LinkId=133408","http://go.microsoft.com/fwlink/?LinkId=133405"," "," ","msiexec.exe","0","1688627443","1688627442","1688627442"
﻿"VMware Tools","{01767101-A688-4A95-9C83-6DED9EB6735D}","10.3.10.12406962","20230714","All User 64-bit","C:\Program Files\VMware\VMware Tools\","VMware, Inc.","MsiExec.exe /I{01767101-A688-4A95-9C83-6DED9EB6735D}","MsiExec.exe /I{01767101-A688-4A95-9C83-6DED9EB6735D}","Build "," "," "," ","C:\Program Files\Common Files\VMware\InstallerCache\"," "," ","80480","1689319612","1689319574","1689319576"
﻿"Go Programming Language amd64 go1.20.5","{0560AA7F-FBA7-4FF6-A1EA-DF4F1DD19E6B}","1.20.5","20230630","All User 64-bit"," ","https://go.dev","MsiExec.exe /X{0560AA7F-FBA7-4FF6-A1EA-DF4F1DD19E6B}","MsiExec.exe /X{0560AA7F-FBA7-4FF6-A1EA-DF4F1DD19E6B}","The Go programming language is a fast, statically typed, compiled language that feels like a dynamically typed, interpreted language.","https://go.dev"," "," ","C:\Users\test\Downloads\"," "," ","280506","1688105649","NULL","NULL"
﻿"Microsoft SQL Server 2012 Transact-SQL ScriptDom ","{0E8670B8-3965-4930-ADA6-570348B67153}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{0E8670B8-3965-4930-ADA6-570348B67153}","MsiExec.exe /I{0E8670B8-3965-4930-ADA6-570348B67153}"," "," "," "," ","C:\ProgramData\Package Cache\{0E8670B8-3965-4930-ADA6-570348B67153}v11.0.2100.60\packages\SqlDom_amd64\"," "," ","4636","1688627175","NULL","NULL"
﻿"Visual Studio 2012 Prerequisites - ENU Language Pack","{13417784-A359-3CDD-8DE1-B7108707D647}","11.0.50727","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{13417784-A359-3CDD-8DE1-B7108707D647}","MsiExec.exe /X{13417784-A359-3CDD-8DE1-B7108707D647}"," "," "," "," ","C:\ProgramData\Package Cache\{13417784-A359-3CDD-8DE1-B7108707D647}v11.0.50727\packages\64bitPrereq\x64\"," "," ","28","1688627065","NULL","NULL"
﻿"Microsoft SQL Server 2012 Express LocalDB ","{13D558FE-A863-402C-B115-160007277033}","11.0.2100.60","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{13D558FE-A863-402C-B115-160007277033}","MsiExec.exe /I{13D558FE-A863-402C-B115-160007277033}"," "," "," "," ","C:\ProgramData\Package Cache\{13D558FE-A863-402C-B115-160007277033}v11.0.2100.60\packages\sqllocaldb_amd64\"," "," ","161600","1688627500","NULL","NULL"
﻿"Python 3.11.4 Development Libraries (64-bit)","{1C6E1CE6-CA4E-4B38-BAFF-32BD94DBFFEF}","3.11.4150.0","20230630","All User 64-bit"," ","Python Software Foundation","MsiExec.exe /I{1C6E1CE6-CA4E-4B38-BAFF-32BD94DBFFEF}","MsiExec.exe /I{1C6E1CE6-CA4E-4B38-BAFF-32BD94DBFFEF}"," "," "," "," ","C:\Users\test\AppData\Local\Package Cache\{1C6E1CE6-CA4E-4B38-BAFF-32BD94DBFFEF}v3.11.4150.0\"," "," ","1752","1688106529","NULL","NULL"
﻿"DiagnosticsHub_CollectionService","{1F3C3AAC-9F7A-47DA-A082-0ACE770041BE}","16.1.28901","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{1F3C3AAC-9F7A-47DA-A082-0ACE770041BE}","MsiExec.exe /I{1F3C3AAC-9F7A-47DA-A082-0ACE770041BE}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.DiagnosticsHub.Collection.Service,version=16.1.28901.1,chip=x64\"," "," ","1274","1688629216","NULL","NULL"
﻿"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","{24C3AEE0-4BCE-3190-8EE0-BBA0BF72CAC1}","10.0.31130","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /X{24C3AEE0-4BCE-3190-8EE0-BBA0BF72CAC1}","MsiExec.exe /X{24C3AEE0-4BCE-3190-8EE0-BBA0BF72CAC1}"," "," "," "," ","c:\a01ca53a1cd3d05d81\"," "," ","8612","1688627443","NULL","NULL"
﻿"Windows Software Development Kit for Windows Store Apps DirectX x64 Remote","{27EF252D-800C-ED42-9904-459FE0046225}","8.59.25584","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{27EF252D-800C-ED42-9904-459FE0046225}","MsiExec.exe /I{27EF252D-800C-ED42-9904-459FE0046225}"," "," "," "," ","C:\ProgramData\Package Cache\{27EF252D-800C-ED42-9904-459FE0046225}v8.59.25584\packages\Windows_SDK\"," "," ","2136","1688627478","NULL","NULL"
﻿"icecap_collection_x64","{289873DF-80D0-4D7D-8068-D25D342A26FA}","16.10.31306","20230706","All User 64-bit"," ","Microsoft Corporation","MsiExec.exe /I{289873DF-80D0-4D7D-8068-D25D342A26FA}","MsiExec.exe /I{289873DF-80D0-4D7D-8068-D25D342A26FA}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.Icecap.Collection.Msi.Targeted,version=16.10.31306.167,chip=x64\"," "," ","4561","1688629219","NULL","NULL"
