"fullpath","application_id","computer_name","filesize","entry_id","recordtime","createtime","accesstime","modifiedtime"
﻿"C:\msys64\mingw64.ico","12dc1ea8e34b5a6","desktop-tc5h5cs","30532","2","1689837294","1689836359","1689837280","1675782569"
﻿"D:\autorun.ico","12dc1ea8e34b5a6"," ","55802","1","1689319543","1550665800","NULL","1550665800"
﻿"C:\james\eDetectorWindowsAgent_VS2019\x64\Debug\Obtained_NetworkResources.csv","1ced32d74a95c7bc","desktop-tc5h5cs","768","1","1691743391","1691743351","1691743351","1691743351"
﻿"C:\james\NTFS\NTFSParser.sln","2fae4c73f58bff0c","desktop-tc5h5cs","2257","6","1691650538","1691574794","1691650536","1691574794"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\OnlineSearch.sln","2fae4c73f58bff0c","desktop-tc5h5cs","2881","1","1691647199","1684465358","1688627781","1688625019"
﻿"C:\james\eDetectorWindowsAgent_VS2019\Agent_VS2019.sln","2fae4c73f58bff0c","desktop-tc5h5cs","1453","4","1691646850","1691399488","1691399659","1691399488"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\OnlineSearch\OnlineSearch.sln","2fae4c73f58bff0c"," ","0","5","1691571935","NULL","NULL","NULL"
﻿"C:\james\generate_onlinesearch\generate_onlinesearch.sln","2fae4c73f58bff0c","desktop-tc5h5cs","1484","2","1691483441","1688104888","1689042776","1688104860"
﻿"C:\Users\test\Desktop\agent\agent.sln","2fae4c73f58bff0c","desktop-tc5h5cs","1436","3","1690184192","1690183890","1690183890","1690183890"
﻿"C:\james\eDetectorWindowsAgent_VS2019\Agent_VS2019\sqlite3.h","5f7b5f1e01b83767","desktop-tc5h5cs","542872","14","1691736706","1691736674","1691736705","1688631081"
﻿"C:\james\NTFS\NTFSParser.sln","5f7b5f1e01b83767","desktop-tc5h5cs","2257","13","1691650538","1691574794","1691650536","1691574794"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\ClientSearch\ReadMe.txt","5f7b5f1e01b83767","desktop-tc5h5cs","1604","12","1691647638","1683528906","1691647336","1688631081"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\OnlineSearch.sln","5f7b5f1e01b83767","desktop-tc5h5cs","3632","3","1691647199","1684465358","1691647197","1691572704"
﻿"C:\james\eDetectorWindowsAgent_VS2019\Agent_VS2019.sln","5f7b5f1e01b83767","desktop-tc5h5cs","1453","10","1691646850","1691399488","1691646843","1691399488"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\OnlineSearch\OnlineSearch.sln","5f7b5f1e01b83767"," ","0","11","1691571936","NULL","NULL","NULL"
﻿"C:\james\generate_onlinesearch\generate_onlinesearch.sln","5f7b5f1e01b83767","desktop-tc5h5cs","1484","4","1691483441","1688104888","1691483440","1688104860"
﻿"C:\Users\test\Desktop\agent\agent.sln","5f7b5f1e01b83767","desktop-tc5h5cs","1436","9","1690184192","1690184192","1690184192","1690184192"
﻿"C:\msys64\mingw64.ico","5f7b5f1e01b83767","desktop-tc5h5cs","30532","7","1689837294","1689836359","1689837280","1675782569"
﻿"C:\Program Files\Git\ReleaseNotes.html","5f7b5f1e01b83767","desktop-tc5h5cs","248940","6","1689752837","1689752705","1689752837","1689258458"
﻿"D:\autorun.ico","5f7b5f1e01b83767"," ","55802","5","1689319543","1550665800","NULL","1550665800"
﻿"C:\Users\test\Downloads\vsconfig.txt","5f7b5f1e01b83767","desktop-tc5h5cs","5785","2","1688365433","1688365223","1688365433","1688365224"
﻿"C:\Users\test\Downloads\go1.20.5.src.tar.gz","5f7b5f1e01b83767","desktop-tc5h5cs","26192951","1","1688105463","1688105236","1688105463","1688105303"
﻿"::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{040873CB-404A-49FE-A254-A9BB9CEFAEA5}","7e4dca80246863e3"," ","0","4","1688626572","NULL","NULL","NULL"
﻿"::{26EE0668-A00A-44D7-9371-BEB064C98683}\8\::{7B81BE6A-CE2B-4676-A29E-EB907A5126C5}","7e4dca80246863e3"," ","0","3","1688625527","NULL","NULL","NULL"
﻿"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools","7e4dca80246863e3","desktop-tc5h5cs","4096","2","1688104197","1575710092","1688103400","1662606909"
﻿"::{26EE0668-A00A-44D7-9371-BEB064C98683}\9\::{60632754-C523-4B62-B45C-4172DA012619}","7e4dca80246863e3"," ","0","1","1688104009","NULL","NULL","NULL"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\ClientSearch\ReadMe.txt","9b9cdc69c1c24e2b","desktop-tc5h5cs","1604","1","1691647638","1683528906","1691647336","1688631081"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691732719706&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fnews%2Fother%2F%E5%8F%B0%E7%81%A3%E9%A6%96%E5%AD%A3%E6%88%BF%E5%83%B9%E6%89%80%E5%BE%97%E6%AF%94%E5%89%B5%E5%8F%B2%E4%B8%8A%E6%AC%A1%E9%AB%98-10%E5%B9%B4%E4%B8%8D%E5%90%83%E4%B8%8D%E5%96%9D%E6%89%8D%E8%83%BD%E8%B2%B7%E6%88%BF%2Far-AA1f63WG%3Focid%3Dwinp1taskbar%26cvid%3D3efc7a5c1fb34f5790fdb0c41104eb94%26ei%3D4","ccba5a5986c77e43"," ","0","11","1691732720","NULL","NULL","NULL"
