"record_id","app_name","app_id","user_name","user_sid","bytes_sent","bytes_recvd","network_adapter","network_adapter_guid","interfaceluid","timestamp"
﻿"1","c:\windows\system32\devicecensus.exe","97","SYSTEM\NT AUTHORITY","S-1-5-18","1202","5057","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"2","AppXSvc","98","SYSTEM\NT AUTHORITY","S-1-5-18","526","3996","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"3","Dnscache","99","NETWORK SERVICE\NT AUTHORITY","S-1-5-20","608","2676","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"4","system\ipv6 control message","100","SYSTEM\NT AUTHORITY","S-1-5-18","1346","0","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"5","Dhcp","101","LOCAL SERVICE\NT AUTHORITY","S-1-5-19","1099","0","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"6","c:\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe","102","SYSTEM\NT AUTHORITY","S-1-5-18","15054","190340","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"7","NlaSvc","103","NETWORK SERVICE\NT AUTHORITY","S-1-5-20","327","421","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"8","system","104","SYSTEM\NT AUTHORITY","S-1-5-18","340","60","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"9"," ","1"," "," ","25302","1797606","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688073780"
﻿"10","Dnscache","99","NETWORK SERVICE\NT AUTHORITY","S-1-5-20","2613","7223","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688103120"
﻿"11","wlidsvc","245","SYSTEM\NT AUTHORITY","S-1-5-18","32913","67164","Intel(R) 82574L Gigabit Network Connection","{B189D3B6-104D-401F-AA69-3587ED153A13}","0x6008001000000","1688103120"
