"processid","processname","type","objectname"
﻿"592","winlogon.exe","Directory","\KnownDlls"
﻿"592","winlogon.exe","File","C:\Windows\System32"
﻿"592","winlogon.exe","Directory","\Sessions\1\BaseNamedObjects"
﻿"592","winlogon.exe","Mutant","\Sessions\1\BaseNamedObjects\SM0:592:304:WilStaging_02"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:304:WilStaging_02_p0"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:304:WilStaging_02_p0h"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Ole"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Classes\Local Settings\Software\Microsoft"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Classes\Local Settings"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Session Manager"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Classes"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options"
﻿"592","winlogon.exe","Event","\BaseNamedObjects\WinlogonLogoff"
﻿"592","winlogon.exe","ALPC Port","\RPC Control\WMsgKRpc091BF1"
﻿"592","winlogon.exe","Desktop","\Disconnect"
﻿"592","winlogon.exe","Event","\BaseNamedObjects\TermSrvReadyEvent"
﻿"592","winlogon.exe","File","\Device\KsecDD"
﻿"592","winlogon.exe","WindowStation","\Sessions\1\Windows\WindowStations\WinSta0"
﻿"592","winlogon.exe","Desktop","\Winlogon"
﻿"592","winlogon.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\user32.dll.mui"
﻿"592","winlogon.exe","WindowStation","\Sessions\1\Windows\WindowStations\WinSta0"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Control Panel\International"
﻿"592","winlogon.exe","Desktop","\Default"
﻿"592","winlogon.exe","Event","\BaseNamedObjects\BootShellComplete"
﻿"592","winlogon.exe","File","\Device\KsecDD"
﻿"592","winlogon.exe","Key","\REGISTRY\USER"
﻿"592","winlogon.exe","File","\Device\CNG"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:120:WilError_03_p0h"
﻿"592","winlogon.exe","File","\Device\Nsi"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:120:WilError_03_p0"
﻿"592","winlogon.exe","Mutant","\Sessions\1\BaseNamedObjects\SM0:592:120:WilError_03"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\Windows NT\CurrentVersion"
﻿"592","winlogon.exe","Section","\Windows\Theme3388993303"
﻿"592","winlogon.exe","Section","\Sessions\1\Windows\Theme3081467905"
﻿"592","winlogon.exe","Section","\Sessions\1\Windows\ThemeSection"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\GPClient"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Ids"
﻿"592","winlogon.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\winlogon.exe.mui"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\Profiles"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\Sens"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\SessionEnv"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\TermSrv"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\TrustedInstaller"
﻿"592","winlogon.exe","Event","\Sessions\1\BaseNamedObjects\ThemesStartEvent"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\crypt32"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\CodePage"
﻿"672","lsass.exe","Semaphore","\BaseNamedObjects\SM0:672:304:WilStaging_02_p0"
﻿"672","lsass.exe","Directory","\BaseNamedObjects"
﻿"672","lsass.exe","Directory","\KnownDlls"
﻿"672","lsass.exe","File","C:\Windows\System32"
﻿"672","lsass.exe","Mutant","\BaseNamedObjects\SM0:672:304:WilStaging_02"
﻿"672","lsass.exe","Semaphore","\BaseNamedObjects\SM0:672:304:WilStaging_02_p0h"
﻿"672","lsass.exe","ALPC Port","\SeLsaCommandPort"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Session Manager"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions"
﻿"672","lsass.exe","File","\Device\KsecDD"
﻿"672","lsass.exe","Section","\LsaPerformance"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"
﻿"672","lsass.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\lsasrv.dll.mui"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY\RXACT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY\Policy"
﻿"672","lsass.exe","File","\Device\CNG"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Audit"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\CentralizedAccessPolicies"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\CentralizedAccessPolicies\CAPs"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\CentralizedAccessPolicies\CAPEs"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Control Panel\International"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Ids"
