"filename","processname","lastruntime","processpath","runcount","filesize","foldercreatedtime","foldermodifiedtime"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691748080","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691747606","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691747077","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691746799","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691746567","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691746252","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691745610","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AGENT_VS2019.EXE-E0E8755C.pf","AGENT_VS2019.EXE","1691745246","C:\JAMES\EDETECTORWINDOWSAGENT_VS2019\X64\DEBUG\AGENT_VS2019.EXE","3","17188","1691651257","1691748091"
﻿"AM_DELTA_PATCH_1.395.30.0.EXE-A137D83C.pf","AM_DELTA_PATCH_1.395.30.0.EXE","1691655743","C:\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA_PATCH_1.395.30.0.EXE","0","2006","1691655753","1691655753"
﻿"AM_DELTA_PATCH_1.395.85.0.EXE-576DC066.pf","AM_DELTA_PATCH_1.395.85.0.EXE","1691667765","C:\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA_PATCH_1.395.85.0.EXE","0","1988","1691667775","1691667775"
﻿"AM_DELTA_PATCH_1.395.92.0.EXE-AB13E534.pf","AM_DELTA_PATCH_1.395.92.0.EXE","1691702549","C:\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA_PATCH_1.395.92.0.EXE","0","1990","1691702559","1691702559"
﻿"APPLICATIONFRAMEHOST.EXE-CCEEF759.pf","APPLICATIONFRAMEHOST.EXE","1691399110","C:\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE","3","22150","1688103746","1691399120"
﻿"APPLICATIONFRAMEHOST.EXE-CCEEF759.pf","APPLICATIONFRAMEHOST.EXE","1689319528","C:\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE","3","22150","1688103746","1691399120"
﻿"APPLICATIONFRAMEHOST.EXE-CCEEF759.pf","APPLICATIONFRAMEHOST.EXE","1688538281","C:\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE","3","22150","1688103746","1691399120"
﻿"APPLICATIONFRAMEHOST.EXE-CCEEF759.pf","APPLICATIONFRAMEHOST.EXE","1688140005","C:\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE","3","22150","1688103746","1691399120"
﻿"APPLICATIONFRAMEHOST.EXE-CCEEF759.pf","APPLICATIONFRAMEHOST.EXE","1688103736","C:\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE","3","22150","1688103746","1691399120"
﻿"ASM.EXE-AC87917B.pf","ASM.EXE","1691650412","C:\PROGRAM FILES\GO\PKG\TOOL\WINDOWS_AMD64\ASM.EXE","0","3189","1691650412","1691650412"
