"pid","process_name","parent_pid","processcreatetime","process_path","process_command","user_name","digitalsignature","productname","fileversion","filedescription","companyname","priority"
ï»¿"0","[System Process]","-1","NULL"," "," "," "," "," "," "," "," "," "
ï»¿"4","System","0","1691580698"," "," "," "," "," "," "," "," "," "
ï»¿"92","Registry","4","1691580689"," "," "," "," "," "," "," "," "," "
ï»¿"100","RuntimeBroker.exe","808","1691646399","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","test","Microsoft Windows","MicrosoftR WindowsR Operating System","10.0.19041.746 (WinBuild.160101.0800)","Runtime Broker","Microsoft Corporation","NORMAL"
ï»¿"272","rdpclip.exe","696","1691646354","C:\Windows\System32\rdpclip.exe","rdpclip","test"," ","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","RDP °Å¶KÃ¯ºÊµø¾¹","Microsoft Corporation","NORMAL"
ï»¿"352","smss.exe","4","1691580698","C:\Windows\system32\smss.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows ¤u§@¶¥¬qºÞ²z­û","Microsoft Corporation"," "
ï»¿"436","dwm.exe","592","1691580717","C:\Windows\System32\dwm.exe",""dwm.exe"","DWM-1"," ","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","®à­±µøµ¡ºÞ²z­û","Microsoft Corporation","HIGH"
ï»¿"440","csrss.exe","432","1691580714","C:\Windows\system32\csrss.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","¥Î¤áºÝ¦øªA¾¹°õ¦æ¶¥¬q³B²zµ{§Ç","Microsoft Corporation"," "
ï»¿"460","LogonUI.exe","592","1691580717","C:\Windows\System32\LogonUI.exe",""LogonUI.exe" /flags:0x2 /state0:0xa3bd4855 /state1:0x41c64e6d","SYSTEM"," ","MicrosoftR WindowsR Operating System","10.0.19041.1 (WinBuild.160101.0800)","Windows Logon User Interface Host","Microsoft Corporation","HIGH"
ï»¿"516","wininit.exe","432","1691580715","C:\Windows\system32\wininit.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows ±Ò°ÊÀ³¥Îµ{¦¡","Microsoft Corporation"," "
ï»¿"524","svchost.exe","656","1691580855","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"528","csrss.exe","508","1691580715","C:\Windows\system32\csrss.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","¥Î¤áºÝ¦øªA¾¹°õ¦æ¶¥¬q³B²zµ{§Ç","Microsoft Corporation"," "
ï»¿"592","winlogon.exe","508","1691580715","C:\Windows\System32\winlogon.exe","winlogon.exe","SYSTEM"," ","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows µn¤JÀ³¥Îµ{¦¡","Microsoft Corporation","HIGH"
ï»¿"604","sihost.exe","1220","1691646355","C:\Windows\System32\sihost.exe","sihost.exe","test"," ","MicrosoftR WindowsR Operating System","10.0.19041.746 (WinBuild.160101.0800)","Shell Infrastructure Host","Microsoft Corporation","NORMAL"
ï»¿"656","services.exe","516","1691580715","C:\Windows\system32\services.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","ªA°È¤Î±±¨î¯¸À³¥Îµ{¦¡","Microsoft Corporation"," "
ï»¿"672","lsass.exe","516","1691580715","C:\Windows\System32\lsass.exe","C:\Windows\system32\lsass.exe","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.2130 (WinBuild.160101.0800)","Local Security Authority Process","Microsoft Corporation","NORMAL"
ï»¿"696","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -s TermService","NETWORK SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"724","ServiceHub.IdentityHost.exe","8128","1691646871","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe"," ","test","Microsoft Corporation","ServiceHub.Host.CLR.x86","2.8.1021.41932","ServiceHub.IdentityHost.exe","Microsoft","NORMAL"
ï»¿"760","fontdrvhost.exe","592","1691580715","C:\Windows\System32\fontdrvhost.exe",""fontdrvhost.exe"","UMFD-1","Microsoft Windows","MicrosoftR WindowsR Operating System","10.0.19041.2788 (WinBuild.160101.0800)","Usermode Font Driver Host","Microsoft Corporation","NORMAL"
ï»¿"808","svchost.exe","656","1691580715","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"844","fontdrvhost.exe","516","1691580715","C:\Windows\System32\fontdrvhost.exe",""fontdrvhost.exe"","UMFD-0","Microsoft Windows","MicrosoftR WindowsR Operating System","10.0.19041.2788 (WinBuild.160101.0800)","Usermode Font Driver Host","Microsoft Corporation","NORMAL"
ï»¿"876","WUDFHost.exe","656","1691580715","C:\Windows\System32\WUDFHost.exe"," ","LOCAL SERVICE"," ","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows ÅX°Êµ{¦¡°òÂ¦ - ¨Ï¥ÎªÌ¼Ò¦¡ÅX°Êµ{¦¡¬[ºc¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"940","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p","NETWORK SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"956","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"988","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1056","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1064","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1120","svchost.exe","656","1691580717","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1128","csrss.exe","452","1691646337","C:\Windows\system32\csrss.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","¥Î¤áºÝ¦øªA¾¹°õ¦æ¶¥¬q³B²zµ{§Ç","Microsoft Corporation"," "
ï»¿"1168","SecurityHealthService.exe","656","1691598482","C:\Windows\system32\SecurityHealthService.exe"," "," ","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","4.18.1907.16384 (WinBuild.160101.0800)","Windows Security Health Service","Microsoft Corporation"," "
ï»¿"1220","svchost.exe","656","1691580719","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1264","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1280","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1288","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1296","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1304","svchost.exe","656","1691580730","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1400","Memory Compression","4","1691580718"," "," "," "," "," "," "," "," "," "
ï»¿"1444","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1464","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1472","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1540","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1548","fontdrvhost.exe","5096","1691646338","C:\Windows\System32\fontdrvhost.exe",""fontdrvhost.exe"","UMFD-2","Microsoft Windows","MicrosoftR WindowsR Operating System","10.0.19041.2788 (WinBuild.160101.0800)","Usermode Font Driver Host","Microsoft Corporation","NORMAL"
ï»¿"1608","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1616","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s nsi","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1648","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache","NETWORK SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1656","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1664","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1728","svchost.exe","656","1691580857","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc","LOCAL SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1740","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1748","svchost.exe","656","1691580719","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc","NETWORK SERVICE","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1784","svchost.exe","656","1691580718","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
ï»¿"1924","svchost.exe","656","1691580856","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository","SYSTEM","Microsoft Windows Publisher","MicrosoftR WindowsR Operating System","10.0.19041.3203 (WinBuild.160101.0800)","Windows Services ªº¥D¾÷³B²zµ{§Ç","Microsoft Corporation","NORMAL"
