"name","caption","description","displayname","errorcontrol","pathname","processid","servicetype","started","startmode","startname","state","status","systemname"
ï»¿"AJRouter","AllJoyn Router Service","°w¹ï¥»¾÷ AllJoyn ¥Î¤áºÝ¸ô¥Ñ AllJoyn °T®§¡C¦pªG°±¤î¦¹ªA°È¡A¨S¦³¦Û¤vªºÃ´µ²¸ô¥Ñ¾¹ªº AllJoyn ¥Î¤áºÝ±NµLªk°õ¦æ¡C","AllJoyn Router Service","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Share Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"ALG","Application Layer Gateway Service","¹ïºô»Úºô¸ô³s½u¦@¥Î´£¨Ñ¨ó¤O¼t°Ó³q°T¨ó©w¥~±¾µ{¦¡ªº¤ä´©¡C","Application Layer Gateway Service","Normal","C:\Windows\System32\alg.exe","0","Own Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"AppIDSvc","Application Identity","§PÂ_¨Ã½T©wÀ³¥Îµ{¦¡ªºÃÑ§O¡C°±¥Î¦¹ªA°È±N¨Ï AppLocker µLªk±j¨î°õ¦æ¡C","Application Identity","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Share Process","Stopped","Manual","NT Authority\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"Appinfo","Application Information","¥H¨ä¥LºÞ²zÅv­­¨ó§U°õ¦æ¤¬°Ê¦¡À³¥Îµ{¦¡¡C¨Ï¥ÎªÌ¦b°õ¦æ·Q­nªº¤u§@®É¥i¯à·|»Ý­n³o¨ÇÅv­­¡C¦pªG°±¤î¦¹ªA°È¡A¨Ï¥ÎªÌ±NµLªk¥H¨ä¥LºÞ²zÅv­­¨Ó±Ò°ÊÀ³¥Îµ{¦¡¡C","Application Information","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","5912","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"AppMgmt","Application Management","°w¹ï³z¹L [¸s²Õ­ì«h] ¨Ó³¡¸pªº³nÅé¡A³B²z¦w¸Ë¡B²¾°£¤Î¦CÁ|­n¨D¡C­Y±N¦¹ªA°È°±¥Î¡A¨Ï¥ÎªÌ±NµLªk¦w¸Ë¡B²¾°£¤Î¦CÁ|³z¹L [¸s²Õ­ì«h] ¨Ó³¡¸pªº³nÅé¡A¦Ó¥B»P¨ä¨ã¦³©ú½T¬Û¨ÌÃö«Yªº¥ô¦óªA°È¡A¤]±NµLªk±Ò°Ê¡C","Application Management","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"AppReadiness","App Readiness","³Æ§´À³¥Îµ{¦¡¡A¨Ñ¨Ï¥ÎªÌ²Ä¤@¦¸µn¤J¦¹¹q¸£©M·s¼WÀ³¥Îµ{¦¡®É¨Ï¥Î¡C","App Readiness","Normal","C:\Windows\System32\svchost.exe -k AppReadiness -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"AppVClient","Microsoft App-V Client","Manages App-V users and virtual applications","Microsoft App-V Client","Normal","C:\Windows\system32\AppVClient.exe","0","Own Process","Stopped","Disabled","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"AppXSvc","AppX Deployment Service (AppXSVC)","´£¨Ñ³¡¸p Microsoft Store À³¥Îµ{¦¡ªº°òÂ¦µ²ºc¤ä´©¡C¦¹ªA°È·|µø»Ý­n±Ò°Ê¡A­Y°±¥Î¦¹ªA°È¡AMicrosoft Store À³¥Îµ{¦¡±NµLªk³¡¸p¨ì¨t²Î¤W¡A¦Ó¥B¥i¯àµLªk¥¿½T¹B§@¡C","AppX Deployment Service (AppXSVC)","Normal","C:\Windows\system32\svchost.exe -k wsappx -p","97000","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"AssignedAccessManagerSvc","AssignedAccessManager ªA°È","AssignedAccessManager ªA°È¤ä´© Windows ¤¤ªº Kiosk ÅéÅç¡C","AssignedAccessManager ªA°È","Normal","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"AudioEndpointBuilder","Windows Audio Endpoint Builder","ºÞ²z Windows ­µ°TªA°Èªº­µ°T¸Ë¸m¡C¦pªG°±¤î¦¹ªA°È¡A­µ°T¸Ë¸m©M®ÄªG±NµLªk¥¿±`¹B§@¡C¦pªG°±¥Î¦¹ªA°È¡A©Ò¦³©ú½T¨Ì¦s©ó¥¦ªºªA°È³£±NµLªk±Ò°Ê¡C","Windows Audio Endpoint Builder","Normal","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","1464","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"Audiosrv","Windows Audio","ºÞ²z Windows µ{¦¡ªº­µ°T¡C¦pªG³o­ÓªA°È°±¤î¡A­µ°T¸Ë¸m¤Î®ÄªG±NµLªk¥¿±`¹B§@¡C¦pªG°±¥Î³o­ÓªA°È¡A±NµLªk±Ò°Ê©ú½T¨Ì¿à¦¹ªA°Èªº¥ô¦óªA°È","Windows Audio","Normal","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","1540","Own Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"autotimesvc","¦æ°Ê¹q¸Ü³q°Tªº®É¶¡","³o¶µªA°È·|®Ú¾Ú¦æ°Êºô¸ôªº NITZ °T®§¨Ó³]©w®É¶¡","¦æ°Ê¹q¸Ü³q°Tªº®É¶¡","Normal","C:\Windows\system32\svchost.exe -k autoTimeSvc","0","Own Process","Stopped","Manual","NT AUTHORITY\LocalService","Stopped","OK","DESKTOP-TC5H5CS"
