"name","path","command","lastruntime","nextruntime","startboundary","endboundary"
﻿"MicrosoftEdgeUpdateTaskMachineCore","\MicrosoftEdgeUpdateTaskMachineCore","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","1691741021","1691827420","1688688220","NULL"
﻿"MicrosoftEdgeUpdateTaskMachineUA","\MicrosoftEdgeUpdateTaskMachineUA","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","1691775222","1691778820","1688686420","NULL"
﻿"OneDrive Reporting Task-S-1-5-21-2081973557-1603719640-2355346784-1001","\OneDrive Reporting Task-S-1-5-21-2081973557-1603719640-2355346784-1001","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","1691765304","1691851703","1691650103","NULL"
﻿"OneDrive Standalone Update Task-S-1-5-21-2081973557-1603719640-2355346784-1001","\OneDrive Standalone Update Task-S-1-5-21-2081973557-1603719640-2355346784-1001","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","943920000","1691853028","704696400","NULL"
﻿"BackgroundDownload","\Microsoft\VisualStudio\Updates\BackgroundDownload","C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe","1691771721","NULL","NULL","NULL"
﻿".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319"," ","1691731925","NULL","NULL","NULL"
﻿".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64"," ","1691731925","NULL","NULL","NULL"
﻿".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical"," ","1691609564","NULL","NULL","NULL"
﻿".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical"," ","1691609566","NULL","NULL","NULL"
﻿"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)"," ","943920000","1691811143","1163012400","NULL"
﻿"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)"," ","943920000","NULL","NULL","NULL"
﻿"EDP Policy Manager","\Microsoft\Windows\AppID\EDP Policy Manager"," ","943920000","NULL","NULL","NULL"
﻿"PolicyConverter","\Microsoft\Windows\AppID\PolicyConverter","%windir%\system32\appidpolicyconverter.exe","943920000","NULL","NULL","NULL"
﻿"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","%windir%\system32\appidcertstorecheck.exe","943920000","NULL","NULL","NULL"
﻿"MareBackup","\Microsoft\Windows\Application Experience\MareBackup","%windir%\system32\compattelrunner.exe","943920000","NULL","NULL","NULL"
﻿"Microsoft Compatibility Appraiser","\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","%windir%\system32\compattelrunner.exe","1691727469","1691811545","1220209200","NULL"
﻿"PcaPatchDbTask","\Microsoft\Windows\Application Experience\PcaPatchDbTask","%windir%\system32\rundll32.exe","1691769095","1691809527","1220209200","NULL"
﻿"ProgramDataUpdater","\Microsoft\Windows\Application Experience\ProgramDataUpdater","%windir%\system32\compattelrunner.exe","1691731921","NULL","NULL","NULL"
﻿"StartupAppTask","\Microsoft\Windows\Application Experience\StartupAppTask","%windir%\system32\rundll32.exe","1691675874","NULL","NULL","NULL"
﻿"appuriverifierdaily","\Microsoft\Windows\ApplicationData\appuriverifierdaily","%windir%\system32\AppHostRegistrationVerifier.exe","1691731921","NULL","NULL","NULL"
﻿"appuriverifierinstall","\Microsoft\Windows\ApplicationData\appuriverifierinstall","%windir%\system32\AppHostRegistrationVerifier.exe","1688168812","NULL","NULL","NULL"
﻿"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\CleanupTemporaryState","%windir%\system32\rundll32.exe","1691489880","NULL","NULL","NULL"
﻿"DsSvcCleanup","\Microsoft\Windows\ApplicationData\DsSvcCleanup","%windir%\system32\dstokenclean.exe","1691731921","NULL","NULL","NULL"
﻿"Backup","\Microsoft\Windows\AppListBackup\Backup"," ","1691675874","NULL","NULL","NULL"
﻿"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup","%windir%\system32\rundll32.exe","1688136758","NULL","NULL","NULL"
﻿"Proxy","\Microsoft\Windows\Autochk\Proxy","%windir%\system32\rundll32.exe","1691611968","NULL","NULL","NULL"
﻿"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\BitLocker Encrypt All Drives"," ","943920000","NULL","NULL","NULL"
﻿"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\BitLocker MDM policy Refresh"," ","943920000","NULL","NULL","NULL"
﻿"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\UninstallDeviceTask","BthUdTask.exe","943920000","NULL","NULL","NULL"
﻿"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask"," ","1691578400","NULL","NULL","NULL"
﻿"AikCertEnrollTask","\Microsoft\Windows\CertificateServicesClient\AikCertEnrollTask"," ","943920000","NULL","NULL","NULL"
﻿"CryptoPolicyTask","\Microsoft\Windows\CertificateServicesClient\CryptoPolicyTask"," ","943920000","NULL","NULL","NULL"
