"name","classid","of_times_executed","focus_count","focus_time(s)","modifiedtime"
﻿"UEME_CTLCUACount:ctor","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","0","0","0","NULL"
﻿"Microsoft.Getstarted_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","14","21","420","1688103280"
﻿"UEME_CTLSESSION","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","221","1292","94225","NULL"
﻿"Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","13","19","368","1688103280"
﻿"Microsoft.WindowsMaps_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","12","17","317","1688103280"
﻿"Microsoft.People_8wekyb3d8bbwe!x4c7a3b7dy2188y46d4ya362y19ac5a5805e5x","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","11","15","265","1688103280"
﻿"Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","10","13","214","1688103280"
﻿"{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SnippingTool.exe","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","9","11","162","1688103280"
﻿"Microsoft.WindowsCalculator_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","8","9","111","1688103280"
﻿"{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","7","7","60","1688103280"
﻿"Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","0","9","77","NULL"
﻿"Microsoft.Windows.Search_cw5n1h2txyewy!CortanaUI","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","0","36","610","NULL"
﻿"windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","5","11","563","1691548001"
﻿"Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","0","1","0","NULL"
﻿"{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SystemPropertiesRemote.exe","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","0","3","69","NULL"
﻿"{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","2","7","338","1688104920"
﻿"Microsoft.Windows.Explorer","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","37","147","4490","1691736665"
﻿"Microsoft.Windows.ControlPanel","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","2","12","232","1688626566"
﻿"MSEdge","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","18","79","4368","1691732719"
﻿"Microsoft.AutoGenerated.{B729AA26-FB96-7165-CBD6-1C9733CE5086}","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","2","1","30","1688104216"
﻿"Microsoft.Windows.Search_cw5n1h2txyewy!ShellFeedsUI","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","0","8","73","NULL"
﻿"Microsoft.WindowsStore_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","1","7","189","1688104910"
﻿"Microsoft.WindowsTerminal_8wekyb3d8bbwe!App","{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}","13","262","14467","1691650920"
